Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C17, C18, C2, C3, C4, C5, C6, C7, C9",0402,12,100nF,
"C11, C15, C16, C8",0402,4,1uF,
"C13, C14",0402,2,15pF,
"D1, D2, D3, D4, D5",0402,5,LED,
"J1, J2",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
"R1, R2",0402,2,27.4R,
"R10, R11, R12, R13, R8, R9",0402,6,100R,
"R14, R15, R16, R17, R18, R6, R7",0402,7,5.1K,
R3,0402,1,DNF,
"R4, R5",0402,2,1K,
SW1,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088-AR02016,C720477
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_1.0x1.0mm,7,TestPoint,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,USON-8_L3.0-W2.0-P0.50-BL-EP,1,W25Q16JVUXIQ,
U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,LP5907MFX-3.3/NOPB,C80670
"U4, U5",TSSOP-5_L2.1-W1.3-P0.65-LS2.2-BR,2,74AUP1T17GWH,C545951
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,Crystal_GND24,
