Designator,Mid X,Mid Y,Rotation,Layer
C1,166.999998,-85.0,0.0,top
C10,160.099998,-78.000001,90.0,top
C11,163.999999,-78.000001,90.0,top
C12,158.049999,-76.200001,180.0,top
C13,158.26,-93.0,90.0,top
C14,163.699999,-93.0,270.0,top
C15,167.999999,-74.1,90.0,top
C16,170.3,-77.700001,90.0,top
C17,165.839999,-91.02,90.0,top
C18,154.839998,-91.020001,90.0,top
C2,161.599999,-89.98,270.0,top
C3,166.999999,-80.4,0.0,top
C4,154.999999,-85.000001,180.0,top
C5,161.02,-78.0,90.0,top
C6,154.999999,-81.4,180.0,top
C7,165.0,-78.000001,90.0,top
C8,166.999999,-81.4,0.0,top
C9,162.599999,-89.98,270.0,top
D1,170.849999,-70.8,270.0,top
D2,169.099998,-91.8,90.0,top
D3,170.6,-91.8,90.0,top
D4,151.399998,-91.8,90.0,top
D5,152.9,-91.8,90.0,top
J1,156.039999,-98.0,90.0,top
J2,165.959998,-98.0,270.0,top
R1,161.999999,-78.000001,270.0,top
R10,156.009999,-95.5,0.0,top
R11,168.499999,-95.0,90.0,top
R12,162.999999,-95.5,180.0,top
R13,165.99,-95.5,180.0,top
R14,167.009998,-82.400001,0.0,top
R15,166.999999,-87.000001,0.0,top
R16,166.999999,-86.0,0.0,top
R17,154.999999,-83.0,180.0,top
R18,154.999999,-84.0,180.0,top
R2,162.999999,-78.0,270.0,top
R3,154.999998,-80.400001,180.0,top
R4,156.149999,-76.200001,180.0,top
R5,160.599999,-90.000001,270.0,top
R6,154.999999,-72.000002,90.0,top
R7,153.999999,-72.000001,90.0,top
R8,153.499999,-95.0,90.0,top
R9,158.07,-95.5,180.0,top
SW1,152.199999,-78.000001,90.0,top
U1,160.999999,-84.000001,90.0,top
U2,157.009999,-77.895001,270.0,top
U3,167.999999,-76.8,0.0,top
U4,155.499999,-93.5,180.0,top
U5,166.499999,-93.51,180.0,top
USB1,160.999999,-72.0,180.0,top
Y1,160.999999,-93.000001,0.0,top
